Pixels, Value
0, 5696
0,1, 5696
0,2, 5696
0,3, 5760
0,4, 5760
0,5, 5760
0,6, 5760
0,7, 5760
0,8, 5760
0,9, 5760
1, 5760
1,1, 5760
1,2, 5760
1,3, 5824
1,4, 5824
1,5, 5824
1,6, 5824
1,7, 5824
1,8, 5824
1,9, 5824
2, 5824
2,1, 5824
2,2, 5824
2,3, 5376
2,4, 5376
2,5, 5376
2,6, 5376
2,7, 5376
2,8, 5376
2,9, 5376
3, 5376
3,1, 5376
3,2, 5376
3,3, 5504
3,4, 5504
3,5, 5504
3,6, 5504
3,7, 5504
3,8, 5504
3,9, 5504
4, 5504
4,1, 5504
4,2, 5504
4,3, 5632
4,4, 5632
4,5, 5632
4,6, 5632
4,7, 5632
4,8, 5632
4,9, 5632
5, 5632
5,1, 5632
5,2, 5632
5,3, 5696
5,4, 5696
5,5, 5696
5,6, 5696
5,7, 5696
5,8, 5696
5,9, 5696
6, 5696
6,1, 5696
6,2, 5696
6,3, 5440
6,4, 5440
6,5, 5440
6,6, 5440
6,7, 5440
6,8, 5440
6,9, 5440
7, 5440
7,1, 5440
7,2, 5440
7,3, 5568
7,4, 5568
7,5, 5568
7,6, 5568
7,7, 5568
7,8, 5568
7,9, 5568
8, 5568
8,1, 5568
8,2, 5568
8,3, 5504
8,4, 5504
8,5, 5504
8,6, 5504
8,7, 5504
8,8, 5504
8,9, 5504
9, 5504
9,1, 5504
9,2, 5504
9,3, 5568
9,4, 5568
9,5, 5568
9,6, 5568
9,7, 5568
9,8, 5568
9,9, 5568
10, 5568
10,1, 5568
10,2, 5568
10,3, 5312
10,4, 5312
10,5, 5312
10,6, 5312
10,7, 5312
10,8, 5312
10,9, 5312
11, 5312
11,1, 5312
11,2, 5312
11,3, 5312
11,4, 5312
11,5, 5312
11,6, 5312
11,7, 5312
11,8, 5312
11,9, 5312
12, 5312
12,1, 5312
12,2, 5312
12,3, 5312
12,4, 5312
12,5, 5312
12,6, 5312
12,7, 5312
12,8, 5312
12,9, 5312
13, 5312
13,1, 5312
13,2, 5312
