Pixels, Value
0, 4672
0,1, 4672
0,2, 4416
0,3, 4416
0,4, 4416
0,5, 4416
0,6, 4416
0,7, 4416
0,8, 4416
0,9, 4416
1, 4416
1,1, 4416
1,2, 4480
1,3, 4480
1,4, 4480
1,5, 4480
1,6, 4480
1,7, 4480
1,8, 4480
1,9, 4480
2, 4480
2,1, 4480
2,2, 4416
2,3, 4416
2,4, 4416
2,5, 4416
2,6, 4416
2,7, 4416
2,8, 4416
2,9, 4416
3, 4416
3,1, 4416
3,2, 4032
3,3, 4032
3,4, 4032
3,5, 4032
3,6, 4032
3,7, 4032
3,8, 4032
3,9, 4032
4, 4032
4,1, 4032
4,2, 4288
4,3, 4288
4,4, 4288
4,5, 4288
4,6, 4288
4,7, 4288
4,8, 4288
4,9, 4288
5, 4288
5,1, 4288
5,2, 4672
5,3, 4672
5,4, 4672
5,5, 4672
5,6, 4672
5,7, 4672
5,8, 4416
5,9, 4416
6, 4416
6,1, 4416
6,2, 4352
6,3, 4352
6,4, 4352
6,5, 4352
6,6, 4352
6,7, 4352
6,8, 4352
6,9, 4352
7, 4352
7,1, 4352
7,2, 5056
7,3, 5056
7,4, 5056
7,5, 5056
7,6, 5056
7,7, 5056
7,8, 5056
7,9, 5056
8, 5056
8,1, 5056
8,2, 4416
8,3, 4416
8,4, 4416
8,5, 4416
8,6, 4416
8,7, 4416
8,8, 4416
8,9, 4416
9, 4416
9,1, 4416
9,2, 4480
9,3, 4480
9,4, 4480
9,5, 4480
9,6, 4480
9,7, 4480
9,8, 4480
9,9, 4480
10, 4480
10,1, 4480
10,2, 4416
10,3, 4416
10,4, 4416
10,5, 4416
10,6, 4416
10,7, 4416
10,8, 4416
10,9, 4416
11, 4416
11,1, 4416
11,2, 4032
11,3, 4032
11,4, 4032
11,5, 4032
11,6, 4032
11,7, 4032
11,8, 4032
11,9, 4032
12, 4032
12,1, 4032
12,2, 4352
12,3, 4352
12,4, 4352
12,5, 4352
12,6, 4352
12,7, 4352
12,8, 4352
12,9, 4352
13, 4352
13,1, 4352
13,2, 4352
13,3, 4352
13,4, 4352
13,5, 4352
13,6, 4352
