Pixels, Value
0, 4800
0,1, 4800
0,2, 4800
0,3, 4800
0,4, 4800
0,5, 4800
0,6, 4800
0,7, 4800
0,8, 4800
0,9, 4800
1, 4800
1,1, 4800
1,2, 4800
1,3, 4800
1,4, 4800
1,5, 4864
1,6, 4864
1,7, 4864
1,8, 4864
1,9, 4864
2, 4864
2,1, 4864
2,2, 4864
2,3, 4864
2,4, 4864
2,5, 4928
2,6, 4928
2,7, 4928
2,8, 4928
2,9, 4928
3, 4928
3,1, 4928
3,2, 4928
3,3, 4928
3,4, 4928
3,5, 5184
3,6, 5184
3,7, 5184
3,8, 5184
3,9, 5184
4, 5184
4,1, 5184
4,2, 5184
4,3, 5184
4,4, 5184
4,5, 4608
4,6, 4608
4,7, 4608
4,8, 4608
4,9, 4608
5, 4608
5,1, 4608
5,2, 4608
5,3, 4608
5,4, 4608
5,5, 5184
5,6, 5184
5,7, 5184
5,8, 5184
5,9, 5184
6, 5184
6,1, 5184
6,2, 5184
6,3, 5184
6,4, 5184
6,5, 4928
6,6, 4928
6,7, 4928
6,8, 4928
6,9, 4928
7, 4928
7,1, 4928
7,2, 4928
7,3, 4928
7,4, 4928
7,5, 4928
7,6, 4928
7,7, 4928
7,8, 4928
7,9, 4928
8, 4928
8,1, 4928
8,2, 4928
8,3, 4928
8,4, 4928
8,5, 4928
8,6, 4928
8,7, 4928
8,8, 4928
8,9, 4928
9, 4928
9,1, 4928
9,2, 4928
9,3, 4928
9,4, 4928
9,5, 4288
9,6, 4288
9,7, 4288
9,8, 4288
9,9, 4288
10, 4288
10,1, 4288
10,2, 4288
10,3, 4288
10,4, 4288
10,5, 4608
10,6, 4608
10,7, 4608
10,8, 4608
10,9, 4608
11, 4608
11,1, 4608
11,2, 4608
11,3, 4608
11,4, 4608
11,5, 4608
11,6, 4608
11,7, 4608
11,8, 4608
11,9, 4608
12, 4608
12,1, 4608
12,2, 4608
12,3, 4608
12,4, 4608
12,5, 4736
12,6, 4736
12,7, 4736
12,8, 4736
12,9, 4736
13, 4736
13,1, 4736
13,2, 4736
13,3, 4736
13,4, 4736
13,5, 4672
13,6, 4672
13,7, 4672
13,8, 4672
13,9, 4672
14, 4672
14,1, 4672
14,2, 4672
14,3, 4672
14,4, 4672
14,5, 4608
14,6, 4608
14,7, 4608
14,8, 4608
14,9, 4608
15, 4608
15,1, 4608
15,2, 4608
15,3, 4608
15,4, 4608
15,5, 4608
15,6, 4608
15,7, 4608
15,8, 4608
15,9, 4608
16, 4608
16,1, 4608
16,2, 4608
16,3, 4608
16,4, 4608
16,5, 4672
16,6, 4672
16,7, 4672
16,8, 4672
16,9, 4672
17, 4672
17,1, 4672
17,2, 4672
17,3, 4672
17,4, 4672
17,5, 4672
17,6, 4672
17,7, 4672
17,8, 4672
17,9, 4672
18, 4672
18,1, 4672
18,2, 4672
18,3, 4672
18,4, 4672
18,5, 4160
18,6, 4160
18,7, 4160
18,8, 4160
18,9, 4160
19, 4160
19,1, 4160
19,2, 4160
19,3, 4160
19,4, 4160
19,5, 4416
19,6, 4416
19,7, 4416
19,8, 4416
19,9, 4416
20, 4416
20,1, 4416
20,2, 4416
20,3, 4416
20,4, 4416
20,5, 4416
20,6, 4416
20,7, 4416
20,8, 4416
20,9, 4416
21, 4416
21,1, 4416
21,2, 4416
21,3, 4416
21,4, 4416
21,5, 4288
21,6, 4288
21,7, 4288
21,8, 4288
21,9, 4288
22, 4288
22,1, 4288
22,2, 4288
22,3, 4288
22,4, 4288
22,5, 4352
22,6, 4352
22,7, 4352
22,8, 4352
22,9, 4352
23, 4352
23,1, 4352
23,2, 4352
23,3, 4352
23,4, 4352
23,5, 4928
23,6, 4928
23,7, 4928
23,8, 4928
23,9, 4928
24, 4928
24,1, 4928
24,2, 4928
24,3, 4928
24,4, 4928
24,5, 4416
24,6, 4416
24,7, 4416
24,8, 4416
24,9, 4416
25, 4416
25,1, 4416
25,2, 4416
25,3, 4416
25,4, 4416
25,5, 4160
25,6, 4160
25,7, 4160
25,8, 4160
25,9, 4160
26, 4160
26,1, 4160
26,2, 4160
